S,SZ
0.0000,0
0.70000E-01,0
0.14000,0
0.21000,0
0.28000,0
0.35000,0
0.42000,0
0.49000,0
0.56000,0
0.63000,
0.70000,
0.77000,
0.84000,
0.91000,
0.98000,
1.0500,0
1.1200,0
1.1900,0
1.2600,0
1.3300,0
1.4000,0

