S,SZ
0.0000,-0.22659E-01
0.70000E-01,-0.25473E-01
0.14000,-0.30837E-01
0.21000,-0.37747E-01
0.28000,-0.42444E-01
0.35000,-0.47141E-01
0.42000,-0.49171E-01
0.49000,-0.51201E-01
0.56000,-0.40376E-01
0.63000,
0.70000,
0.77000,
0.84000,
0.91000,
0.98000,
1.0500,-0.36045E-01
1.1200,-0.55479E-01
1.1900,-0.51243E-01
1.2600,-0.46382E-01
1.3300,-0.37773E-01
1.4000,-0.29165E-01
