S,SZ
0.0000,0.34878E+07
0.70000E-01,0.38109E+07
0.14000,0.41458E+07
0.21000,0.43993E+07
0.28000,0.41098E+07
0.35000,0.38203E+07
0.42000,0.32798E+07
0.49000,0.27392E+07
0.56000,0.17529E+07
0.63000,
0.70000,
0.77000,
0.84000,
0.91000,
0.98000,
1.0500,0.10836E+06
1.1200,-55855.    
1.1900,-0.26935E+06
1.2600,-0.45447E+06
1.3300,-0.46941E+06
1.4000,-0.48436E+06

